Name,Etot [a.u.],Efree [a.u.],EfreeHarris [a.u.],EVdw [a.u.],Eext [a.u.],Fermi [a.u.],HOMO [ev] [a.u.],Force for centroid (x) [a.u.],Force for centroid (y) [a.u.],force for centroid (z) [a.u.],Max force magnitude [a.u.]
CO,-6.77649633e+00,-6.77649633,-6.77649622,0.00000000,0.00000000,0.11255656,3.06281989,-0.00000010,-0.00000774,0.0000018350,3.36052414
Al2O3,+2.98450654e+01,29.84506540,29.84507330,0.00000000,0.00000000,0.54997494,14.96557980,0.00001652,-0.00018985,-9.1905791000,11.83892120
MgO,+2.15415835e+01,21.54158350,21.55620660,0.00000000,0.00000000,0.45989710,12.51443700,-0.00034845,-0.18290833,5.5223809200,23.45662990
HCl,-7.07262169e+00,-7.07262169,-7.07262162,0.00000000,0.00000000,0.07430323,2.02189386,0.00000063,-0.00000028,-1.1453559900,0.52161843
SO2,-3.88979145e+00,-3.88979145,-3.89540571,0.00000000,0.00000000,0.35567276,9.67834852,0.00719525,3.66955323,0.0643760741,4.74891193
CaO,-7.39916300e+00,-7.39916300,-7.39915736,0.00000000,0.00000000,0.21132595,5.75047183,-0.00000597,0.00000136,-0.0005135100,74.99503310
TiO2,-2.12471196e+00,-2.12471196,-2.31424618,0.00000000,0.00000000,0.14520594,3.95125476,0.01971699,-2.03736381,29.2713164000,25.14600280
CuSO4,+9.84106895e+00,9.84106895,9.92761643,0.00000000,0.00000000,0.52348395,14.24472340,0.36201260,0.00101874,0.1586328750,12.10553010
CaCO3,+3.37568146e+00,3.37568146,3.37559823,0.00000000,0.00000000,0.45759559,12.45180990,0.00258118,0.00240015,0.0016330365,7.41831383O2
SiO2,-2.28541301e+01,-22.85413010,-22.85019710,0.00000000,0.00000000,0.29171711,7.93802658,-0.19096932,0.46828683,0.3963854640,19.25636400
O3,-5.03147904e+00,-5.03147904,-5.03276396,0.00000000,0.00000000,0.27817363,7.56948964,0.00808884,-0.00492566,0.1494592180,3.59437423
H2,-8.52389500e+00,-8.52389500,-8.52389499,0.00000000,0.00000000,-0.07439356,-2.02435189,-0.00001963,0.00000383,0.0000017442,0.46823016
Li2O,-7.68051669e+00,-7.68051669,-7.68051727,0.00000000,0.00000000,0.29461105,8.01677471,-0.00000000,0.00001024,0.0000016774,1.92113497
Na2SO4,+4.29454932e+00,4.29454932,4.30078879,0.00000000,0.00000000,0.41326462,11.24550280,-0.16700216,0.02191939,1.6219700900,11.66252010
H2S,-2.20699330e+01,-22.06993300,-22.06992220,0.00000000,0.00000000,0.12246114,3.33233713,0.00010813,-0.00010484,0.0000944130,1.51458772
Na2O,-1.66836293e+00,-1.66836293,-1.66853127,0.00000000,0.00000000,0.30271292,8.23723785,-0.00138687,0.01129902,-0.0085137775,2.48944898
N2O,-4.31018923e+00,-4.31018923,-4.31018906,0.00000000,0.00000000,0.28586579,7.77880414,-0.00009191,-0.00006421,0.0000002503,2.61100429
CaSO4,+4.46497153e+00,4.46497153,4.47213768,0.00000000,0.00000000,0.42492554,11.56281230,0.06343893,-0.23492913,-0.2136615190,13.13204140
K2O,-3.51280085e+00,-3.51280085,-3.51270679,0.00000000,0.00000000,0.18222224,4.95851947,-0.00118809,0.01970173,-0.0078860814,1.00925893
N2O3,-8.30117430e+00,-8.30117430,-8.30117438,0.00000000,0.00000000,0.29755769,8.09695694,-0.00000063,0.00000286,-0.0000001576,7.46102020
BaSO4,+1.70479936e+00,1.70479936,1.70479908,0.00000000,0.00000000,0.35177002,9.57214940,-0.00006951,-0.00027001,0.0000659730,6.19875060
F2,+2.11840494e+00,2.11840494,2.10805092,0.00000000,0.00000000,0.34128067,9.28671963,0.94093289,0.26129881,-0.1668128870,5.45156359
HF,-3.70786599e+00,-3.70786599,-3.71486940,0.00000000,0.00000000,0.31547292,8.58445499,0.03253343,0.49253761,-0.3395017140,3.57354650
Ag2O,+7.99872026e+01,79.98720260,79.98720210,0.00000000,0.00000000,0.63391753,17.24977400,-0.00001532,-0.00000226,0.0000275284,1.69107059
HClO4,-2.29385782e+01,-22.93857820,-22.94735270,0.00000000,0.00000000,0.32329610,8.79733455,0.50235175,0.29455456,-0.0944123881,10.23528460
Cl2,-2.29385782e+01,-22.93857820,-22.94735270,0.00000000,0.00000000,0.32329610,8.79733455,0.50235175,0.29455456,-0.0944123881,10.23528460
HBr,-8.49296238e+00,-8.49296238,-8.49143016,0.00000000,0.00000000,-0.00473566,-0.12886377,-0.02788492,-1.39953896,0.0014803974,0.73195431
FeSO4,+6.76867912e+00,6.76867912,6.80284581,0.00000000,0.00000000,0.49186346,13.38428590,-0.15331067,0.18474217,-0.0943348381,12.87184340
C3H6,-1.15251507e+01,-11.52515070,-11.52526180,0.00000000,0.00000000,0.27009674,7.34970633,0.00898124,-0.00775411,-0.0020231845,1.60059443
SO3,-4.23168208e+00,-4.23168208,-4.23106248,0.00000000,0.00000000,0.35712205,9.71778561,-13.54257130,-0.01704339,0.2231813090,26.63163930
C2H2,-8.12289450e+00,-8.12289450,-8.12289449,0.00000000,0.00000000,0.18688496,5.08539851,0.00000003,-0.00000154,-0.0000000009,1.53499355
P2O5,+1.91142824e+00,1.91142824,1.90768673,0.00000000,0.00000000,0.41355235,11.25333230,13.17850030,-0.00301992,0.0401976645,11.98948670
H2SeO4,-1.29031665e+01,-12.90316650,-12.90317280,0.00000000,0.00000000,0.25032815,6.81177555,0.00035497,-0.00033071,0.0002322766,5.86588154
BaO,-3.24760500e+00,-3.24760500,-3.36428737,0.00000000,0.00000000,0.26028079,7.08260072,0.00149676,0.00214842,0.8423259390,15.27936900
V2O5,-4.90392703e+00,-4.90392703,-4.90020040,0.00000000,0.00000000,0.32818474,8.93036145,-26.58018230,-0.14587896,-0.1719524660,22.71438600
Al(OH)3,-3.43769480e+00,-3.43769480,-3.59633586,0.00000000,0.00000000,0.49638803,13.50740570,-0.11054030,-0.28295087,-0.6308164540,6.35686557
Nb2O5,+8.34190428e+00,8.34190428,8.34189451,0.00000000,0.00000000,0.34810856,9.47251594,-0.00001108,-0.00028650,-0.0000321579,46.87240970
Cu(OH)2,-3.63391275e+00,-3.63391275,-3.62559181,0.00000000,0.00000000,0.42654991,11.60701380,0.00031440,1.23200307,5.9383513900,9.22662750
Ta2O5,+1.88066748e+01,18.80667480,18.80665780,0.00000000,0.00000000,0.70545747,19.19647490,-0.00001049,-0.00008326,-0.0000347254,1.34886140
KI,-1.69172677e+00,-1.69172677,-1.69330194,0.00000000,0.00000000,0.18818229,5.12070079,0.03014896,-0.00035336,-0.0125073742,3.21648825
Sb2O5,+1.00818793e+01,10.08187930,10.08637400,0.00000000,0.00000000,0.36898647,10.04063290,-0.03873314,-0.00895323,0.0348201121,16.71031730
MoO3,+1.54581736e+01,15.45817360,15.46291490,0.00000000,0.00000000,0.53743822,14.62443830,-0.10266746,-0.15759214,-0.0012888121,2.14576284
R4NOH,+6.20701049e+01,62.07010490,62.06162040,0.00000000,0.00000000,0.48118334,13.09366500,-0.09411868,-36.50230380,0.2549891110,11.13821740
CrO3,-5.26931193e+00,-5.26931193,-5.26931144,0.00000000,0.00000000,0.34272972,9.32615037,0.00003157,-0.00000182,2.9696139500,10.19710920
Fe3O4,+3.00952734e+01,30.09527340,29.97835540,0.00000000,0.00000000,0.57714490,15.70491200,0.32971769,-0.18763739,9.8906556400,17.37599640
Y2O3,+2.68799757e+01,26.87997570,26.87242260,0.00000000,0.00000000,0.40722478,11.08115030,-0.00602927,0.73895902,0.8308684170,9.69210501
Co3O4,+9.42767882e+00,9.42767882,9.48655510,0.00000000,0.00000000,0.63584948,17.30234510,-7.45121762,0.16768379,-0.3480667930,20.54349900
Ga2O3,+4.79516834e+01,47.95168340,47.95168380,0.00000000,0.00000000,0.63076017,17.16385780,-0.00006327,-0.00002353,-0.0000033230,2.74263484
H2SeO4,-1.29031665e+01,-12.90316650,-12.90317280,0.00000000,0.00000000,0.25032815,6.81177555,0.00035497,-0.00033071,0.0002322766,5.86588154
ClO2,-2.21347921e+00,-2.21347921,-2.20971680,0.00000000,0.00000000,0.34017185,9.25654728,-0.02229984,0.03321167,-0.0632970251,7.54992434
C2H4,-1.15251507e+01,-11.52515070,-11.52526180,0.00000000,0.00000000,0.27009674,7.34970633,0.00898124,-0.00775411,-0.0020231845,1.60059442
C6H6,-8.12289450e+00,-8.12289450,-8.12289449,0.00000000,0.00000000,0.18688496,5.08539851,0.00000003,-0.00000154,-0.0000000009,1.53499355
CuO,+5.04031625e+00,5.04031625,5.14551310,0.00000000,0.00000000,0.53095862,14.44811930,0.05655612,8.55426757,-15.7106039000,37.74053610
Xe,-1.26784519e+01,-12.67845190,-14.58827230,0.00000000,0.00000000,0.07456445,2.02900191,0.59803366,33.20681990,-4.5847711200,500.39538300
NO,-3.79684068e+00,-3.79684068,-3.79534705,0.00000000,0.00000000,0.28114737,7.65040944,-0.16614754,0.68218382,-0.4268521480,3.98410988
BaCO3,-2.92606699e+00,-2.92606699,-2.92606434,0.00000000,0.00000000,0.23758332,6.46497112,-0.00001445,3.68655838,0.0000009097,3.56764377
HCHO,-1.12177732e+01,-11.21777320,-11.21778150,0.00000000,0.00000000,0.41175223,11.20434830,0.01140495,0.00016738,-0.0009862789,3.38346944
HgO,+2.08944292e+01,20.89442920,20.89442930,0.00000000,0.00000000,0.58360872,15.88080150,-0.00003936,-0.00001630,0.0000197087,3.14692677
HCN,-4.78441940e+00,-4.78441940,-4.78417069,0.00000000,0.00000000,0.16397168,4.46189649,7.77343199,0.16363079,-0.0571870483,2.97547139
CH3Cl,-1.81108099e+01,-18.11080990,-18.11080980,0.00000000,0.00000000,0.10716987,2.91624050,-0.00000003,0.00000111,1.6464754300,1.55944543
CaCl2,-2.95864273e+00,-2.95864273,-2.94732578,0.00000000,0.00000000,0.17456229,4.75008177,2.73067597,-0.18734216,-1.5386052900,8.74180116
Cr2O3,+1.45186012e+01,14.51860120,14.51860050,0.00000000,0.00000000,0.53051821,14.43613520,0.00000381,-0.00000108,-0.0000005981,14.38453300
KNO3,-8.70900899e+00,-8.70900899,-8.70901097,0.00000000,0.00000000,0.25564803,6.95653711,-0.00000150,0.00011294,-0.0000692701,14.76726890
Sc2O3,+1.46581792e+01,14.65817920,14.55505420,0.00000000,0.00000000,0.43581348,11.85908840,0.25465610,-2.42347008,-11.0258789000,23.67482650
In2O3,+3.77327530e+01,37.73275300,37.73275280,0.00000000,0.00000000,0.61320797,16.68623820,-0.00000164,0.00000154,0.0000034702,5.34388780
H2CO3,-1.14930762e+01,-11.49307620,-11.49307490,0.00000000,0.00000000,0.29678532,8.07593957,-0.00003672,0.00002606,-0.0000006722,4.06014739
NH4NO3,-1.47373782e+01,-14.73737820,-14.73731620,0.00000000,0.00000000,0.22741227,6.18820294,-0.02461236,0.00676197,-0.0021919932,4.30981510
Mn2O3,+1.66753731e+01,16.67537310,16.67562290,0.00000000,0.00000000,0.50230905,13.66852500,-0.00002492,0.00111371,0.9052136720,16.20196800
Na3PO4,+3.11940473e-01,0.31194047,0.31194017,0.00000000,0.00000000,0.34480304,9.38256820,14.96491300,0.00000269,0.0000017232,15.50740760
Ti2O3,+3.36982682e+01,33.69826820,33.69826790,0.00000000,0.00000000,0.57788709,15.72510800,-0.00000002,-0.00000552,0.0000915533,3.14287054
TiO2,-2.12471175e+00,-2.12471175,-2.31424593,0.00000000,0.00000000,0.14520594,3.95125478,0.01971699,-2.03736426,29.2713151000,25.14600330
KH2PO4,-1.70117878e+01,-17.01178780,-17.01178820,0.00000000,0.00000000,0.20132811,5.47841672,0.00000151,0.00000127,0.0000001127,10.25573530
KMnO4,-4.69593082e+00,-4.69593082,-4.69177892,0.00000000,0.00000000,0.34172822,9.29889802,0.20245583,0.30152065,-0.1118062180,10.37829410
VO2,+2.14941607e+01,21.49416070,21.46564440,0.00000000,0.00000000,0.50388884,13.71151330,-0.11001890,-0.17425783,0.5160875750,14.14251670
KOH,-6.05573595e+00,-6.05573595,-6.05108143,0.00000000,0.00000000,0.28247711,7.68659342,-0.03358173,2.47430496,1.8241712500,8.15682251
NaOH,-7.07233749e+04,-70723.37490000,-21254.16790000,0.00000000,0.00000000,-2.30030909,-62.59459630,0.98258423,0.09774001,-69152.8256000000,57750.89510000
HfO2,+5.43122620e+01,54.31226200,54.31226200,0.00000000,0.00000000,0.75040375,20.41952540,0.00005307,0.00005338,-0.0000030447,37.18820730
Ba(OH)2,-5.14155855e+01,-51.41558550,-51.41593080,0.00000000,0.00000000,0.24975673,6.79622642,0.00050218,0.00035288,-0.0300345717,21.22869970
NaCN,-3.26153966e+00,-3.26153966,-3.26154037,0.00000000,0.00000000,0.21945346,5.97163249,0.00000013,1.72458850,0.0000199621,4.26148762
PbO2,+4.46817392e+00,4.46817392,4.47880869,0.00000000,0.00000000,0.39093865,10.63798210,0.29884026,-0.02648452,0.9625391140,15.87370960
CsOH,-7.02439244e+00,-7.02439244,-7.02438616,0.00000000,0.00000000,0.21032602,5.72326232,-0.00350044,-0.00080883,-0.0340741395,8.55289966
SnO2,+1.05536616e+01,10.55366160,10.55366160,0.00000000,0.00000000,0.52649717,14.32671730,0.00000023,0.00001109,0.0000111838,1.30071080
NH4OH,-2.44887790e+01,-24.48877900,-24.50444220,0.00000000,0.00000000,0.14044893,3.82181005,0.10978383,-1.04331740,8.9333062800,5.23496957
Pb3O4,+1.45327983e+00,1.45327983,1.45330636,0.00000000,0.00000000,0.27593633,7.50860967,0.00001724,-0.00134937,-0.0016192248,24.67708210
Ti3O5,+2.69836231e+01,26.98362310,26.98362300,0.00000000,0.00000000,0.46933976,12.77138500,-0.00000034,-0.00004466,-0.0000186272,4.75372555
Bi2O3,+5.85859316e+00,5.85859316,5.85857752,0.00000000,0.00000000,0.32874999,8.94574259,0.00111143,-0.00020355,-0.0008892865,10.62734520
Ga2O3,+4.79516834e+01,47.95168340,47.95168380,0.00000000,0.00000000,0.63076017,17.16385780,-0.00006327,-0.00002353,-0.0000033230,2.74263484
CuSO4,+9.84106895e+00,9.84106895,9.92761642,0.00000000,0.00000000,0.52348395,14.24472340,0.36201260,0.00101874,0.1586328720,12.10553010
C2H4,-1.15251507e+01,-11.52515070,-11.52526180,0.00000000,0.00000000,0.27009674,7.34970634,0.00898125,-0.00775411,-0.0020231816,1.60059444
